name	assoc	True	Mostly-True	Half-True	Mostly-False	False	Pants-on-Fire	
d	d	c	c	c	c	c	c	
Debbie Halvorson	Democrat	0	0	0	0	0	0	
Massachusetts legislature	Democrat	0	0	0	0	0	0	
Gabrielle Giffords	Democrat	0	0	0	0	0	0	
Einer Elhauge	Columnist	0	1	0	0	0	0	
Markos Moulitsas	None	0	0	0	0	1	0	
Jeanne Shaheen	Democrat	0	0	1	0	0	0	
Thomas Sowell	undef	0	0	0	0	1	0	
Jon O'Brien	undef	0	1	0	0	0	0	
Kathleen Sebelius	Democrat	0	1	0	0	0	0	
Mike Murphy	undef	1	0	0	0	0	0	
Bob Hackworth	None	0	0	0	0	1	0	
D.A. King	None	0	1	0	0	0	0	
Jane Norton	Republican	0	1	0	0	0	0	
Jack Kingston	Republican	0	1	1	1	0	0	
Bill  Janis	Republican	0	0	0	1	0	0	
Doug Otto	None	0	0	0	0	1	0	
Patrick Murphy	Democrat	1	0	0	0	0	0	
Christopher Little	Moderate	0	0	0	0	1	0	
Daniel Webster	Republican	0	1	0	0	0	0	
Lisa Baldelli-Hunt	Democrat	0	0	0	0	0	1	
Luis Gutierrez	Democrat	0	1	0	0	0	0	
Richard  Ferruccio	Newsmaker	0	0	0	0	1	0	
Mark Miller	Democrat	1	0	0	1	1	0	
Rosa DeLauro	Democrat	1	0	0	0	0	0	
Bear Education and Resource Group	None	0	0	0	0	0	1	
Katrina vanden Heuvel	undef	1	0	0	0	0	0	
Delia Lopez	Republican	0	0	0	0	0	1	
Bruce Braley	Democrat	0	0	0	0	1	0	
Bob Corker	undef	1	1	0	0	0	0	
Stephen Archambault	Democrat	0	1	0	0	0	1	
John Ludlow	undef	1	0	0	0	0	0	
Bono	undef	0	0	1	0	0	0	
Dan Moore	None	1	0	0	0	0	0	
Yolanda Adrean	None	0	0	1	0	0	0	
Kevin Brady	Republican	0	1	0	0	0	0	
Ann  Lininger	county	0	0	0	0	1	0	
Burnt Orange Report	Democrat	0	0	0	1	0	0	
Nan Orrock	Democrat	0	0	0	1	0	0	
Rhode Island ACLU	Organization	1	0	0	0	0	0	
Fulton County Government	undef	1	0	0	0	0	0	
Clay Dafoe	undef	0	0	0	0	1	0	
Dawn Johnsen	Democrat	0	0	0	0	0	0	
Ken Buck	Republican	0	0	0	0	0	0	
Craig Miller	Republican	0	0	0	1	0	0	
Get EQUAL Texas	None	0	0	1	0	0	0	
George Flinn	Republican	0	0	0	0	0	0	
Republican Party of Virginia	Republican	0	0	0	1	0	1	
Frank Caprio	Democrat	0	0	3	0	0	0	
Lorraine Fende	Democrat	0	1	0	0	0	0	
Nancy Nusbaum	Democrat	0	0	0	0	0	1	
Brent Larkin	None	1	0	0	0	0	0	
America's Health Insurance Plans	None	1	0	2	0	0	0	
Bill Spelman	Democrat	0	0	0	0	0	0	
Alan Grayson	Democrat	6	6	1	3	2	0	
Eric Gray	Democrat	0	1	0	0	0	0	
John Oxendine	Republican	1	0	2	0	0	0	
Pam Bondi	Republican	0	2	0	2	1	0	
Meg Whitman	Republican	0	1	1	0	1	0	
Bill Pascrell	Democrat	0	2	4	0	2	0	
J.B. Van Hollen	Republican	0	1	0	0	0	0	
Susan Combs	Republican	0	0	0	0	1	1	
Anonymous GOP critics	undef	0	0	0	0	1	0	
Paul Begala	Democrat	0	0	0	0	1	0	
Joe  Sestak	Democrat	0	1	1	0	0	0	
Dennis Baxley	Republican	0	0	1	0	0	0	
We Are Wisconsin	Organization	0	0	1	0	0	0	
New Jersey Education Association	undef	1	0	1	0	0	0	
Graham  Balch	Democrat	0	0	0	0	0	0	
Steve Spinnett	None	0	0	0	0	0	0	
Jason Isaac	Republican	1	0	0	1	0	1	
Lone Star Project	Democrat	0	1	1	0	0	0	
American Action Network	undef	0	0	0	0	0	1	
Jim McGreevey	Democrat	0	0	1	0	0	0	
Boyd Richie	Democrat	1	0	0	2	1	1	
Jack Murphy	Republican	0	0	1	0	0	0	
Annise Parker	Democrat	0	0	1	0	0	0	
Casey Cagle	undef	0	2	0	1	0	0	
Tammy Hall	undef	0	0	0	0	1	0	
National Federation of Independent Business-Wisconsin	None	0	0	0	0	1	0	
John McCain	Republican	34	31	29	29	38	8	
Mike Prendergast	Republican	0	0	0	0	0	1	
Russell  Pearce	Republican	0	0	0	0	0	1	
H. Ford Gravitt	None	0	0	0	0	1	0	
Barney Bishop	None	0	0	0	0	1	0	
Dan Seals	Democrat	0	0	0	0	0	0	
Ben Nelson	Democrat	0	0	0	0	1	0	
Zack Space	Democrat	0	0	0	0	0	1	
Bernie Sanders	Independent	3	0	1	0	3	0	
Alex Sink	Democrat	9	4	1	1	2	0	
John DePetro	Talk	0	0	0	0	1	1	
Phil Gingrey	Republican	0	1	2	1	3	0	
Dominick Marino	None	0	0	1	0	0	0	
Todd Staples	Republican	2	2	2	0	1	0	
Evan Longoria	None	0	0	0	0	0	1	
Russell Edwards	Democrat	0	0	0	0	1	0	
Tom Mechler	Republican	0	0	1	0	0	0	
Browse by	Other	
Joe Pennacchio	Republican	0	0	1	0	0	0	
The Freedom Project	undef	0	0	1	0	0	0	
David Pennington	None	1	0	0	0	0	0	
Georgia State Road and Tollway Authority	undef	0	0	0	0	0	0	
Brian Newberry	Republican	1	0	0	0	0	0	
Michael Bennet	Democrat	1	0	1	0	0	0	
Curtis Foltz	undef	0	0	1	0	0	0	
Eric Eikenberg	Republican	0	0	0	0	0	0	
Advancing Wisconsin	None	0	0	0	0	0	1	
Bill Proctor	Republican	0	1	0	0	0	0	
Steve Oroho	Republican	0	1	0	1	0	0	
Cory Booker	Democrat	1	4	0	0	3	0	
Doug Whitsett	Republican	0	0	1	0	0	0	
Cynthia Lummis	undef	0	0	0	0	0	1	
Sameh Shoukry	undef	0	0	0	0	1	0	
Geraldine Thompson	Democrat	1	0	0	0	0	0	
Nita Lowey	Democrat	0	0	0	0	1	0	
Mike Keown	Republican	0	0	1	0	0	0	
Rodney Frelinghuysen	undef	0	0	0	1	0	0	
Mitt Romney	Republican	23	19	35	21	19	13	
Mary  Olson	None	0	0	1	0	0	0	
Kate Brown	Democrat	1	0	0	0	0	0	
Betty McCollum	Democrat	1	0	0	0	0	0	
Gary Chiusano	Republican	0	0	0	0	1	0	
Stefani Carter	Republican	0	0	1	0	0	0	
Pat Toomey	Republican	0	1	0	1	0	0	
Judd Gregg	undef	2	1	0	0	0	0	
Wesley Clark	Democrat	0	0	1	0	1	0	
Daniel Mielke	Republican	0	0	0	0	1	0	
Planned Parenthood	undef	3	0	0	1	0	1	
Rebecca Bell-Metereau	Democrat	0	0	0	1	0	0	
Snooki	undef	1	0	0	0	0	0	
Donna Brazile	Democrat	1	4	3	0	1	0	
Sam Olens	Republican	2	0	1	0	1	0	
Kathy Castor	Democrat	1	0	0	0	0	0	
Stacey Campfield	Republican	0	1	0	0	0	1	
Chris  Bollwage	undef	0	0	0	0	1	0	
Jon Bramnick	Republican	0	0	0	0	0	0	
Mary Jordan	None	0	2	0	0	0	0	
Oregon Department of Fish and Wildlife	None	1	0	0	0	0	0	
Stuart Sternberg	None	0	1	0	0	0	0	
